Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil
Cleber Verde;MDB;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;710;Brasília - DF - CEP 70160-900;3215-5710;3215-2710;05;10;dep.cleberverde@camara.leg.br;Cleber Verde;Exmo. Senhor Deputado;CLEBER VERDE CORDEIRO MENDES
Clodoaldo Magalhães;PV;PE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;575;Brasília - DF - CEP 70160-900;3215-5575;3215-2575;11;13;dep.clodoaldomagalhaes@camara.leg.br;Clodoaldo Magalhaes;Exmo. Senhor Deputado;CLODOALDO MAGALHÃES OLIVEIRA LYRA
Cobalchini;MDB;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;358;Brasília - DF - CEP 70160-900;3215-5358;3215-2358;09;07;dep.cobalchini@camara.leg.br;Cobalchini;Exmo. Senhor Deputado;VALDIR VITAL COBALCHINI
Coronel Assis;UNIÃO;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;415;Brasília - DF - CEP 70160-900;3215-5415;3215-2415;04;16;dep.coronelassis@camara.leg.br;Coronel Assis;Exmo. Senhor Deputado;JONILDO JOSÉ DE ASSIS
Coronel Chrisóstomo;PL;RO;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;672;Brasília - DF - CEP 70160-900;3215-5672;3215-2672;06;23;dep.coronelchrisostomo@camara.leg.br;Coronel Chrisostomo;Exmo. Senhor Deputado;JOÃO CHRISÓSTOMO DE MOURA
Coronel Fernanda;PL;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;242;Brasília - DF - CEP 70160-900;3215-5242;3215-2242;11;13;dep.coronelfernanda@camara.leg.br;Coronel Fernanda;Exma. Senhora Deputada;RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA
Coronel Meira;PL;PE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;474;Brasília - DF - CEP 70160-900;3215-5474;3215-2474;01;07;dep.coronelmeira@camara.leg.br;Coronel Meira;Exmo. Senhor Deputado;LUIZ DE FRANÇA E SILVA MEIRA
Coronel Ulysses;UNIÃO;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;231;Brasília - DF - CEP 70160-900;3215-5231;3215-2231;10;19;dep.coronelulysses@camara.leg.br;Coronel Ulysses;Exmo. Senhor Deputado;ULYSSES FREITAS PEREIRA DE ARAÚJO
Covatti Filho;PP;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;228;Brasília - DF - CEP 70160-900;3215-5228;3215-2228;07;25;dep.covattifilho@camara.leg.br;Covatti Filho;Exmo. Senhor Deputado;LUIS ANTONIO FRANCISCATTO COVATTI
Cristiane Lopes;UNIÃO;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;618;Brasília - DF - CEP 70160-900;3215-5618;3215-2618;11;17;dep.cristianelopes@camara.leg.br;Cristiane Lopes;Exma. Senhora Deputada;CRISTIANE LOPES DA LUZ BENARROSH
Da Vitoria;PP;ES;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;779;Brasília - DF - CEP 70160-900;3215-5779;3215-2779;06;02;dep.davitoria@camara.leg.br;Da Vitoria;Exmo. Senhor Deputado;JOSIAS MARIO DA VITORIA
Dagoberto Nogueira;PSDB;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;522;Brasília - DF - CEP 70160-900;3215-5522;3215-2522;07;21;dep.dagobertonogueira@camara.leg.br;Dagoberto Nogueira;Exmo. Senhor Deputado;DAGOBERTO NOGUEIRA FILHO
Daiana Santos;PCdoB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;901;Brasília - DF - CEP 70160-900;3215-5901;3215-2901;01;29;dep.daianasantos@camara.leg.br;Daiana Santos;Exma. Senhora Deputada;DAIANA SILVA DOS SANTOS
Dal Barreto;UNIÃO;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;520;Brasília - DF - CEP 70160-900;3215-5520;3215-2520;03;16;dep.dalbarreto@camara.leg.br;Dal Barreto;Exmo. Senhor Deputado;ADALBERTO ROSA BARRETO
Damião Feliciano;UNIÃO;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;938;Brasília - DF - CEP 70160-900;3215-5938;3215-2938;04;28;dep.damiaofeliciano@camara.leg.br;Damiao Feliciano;Exmo. Senhor Deputado;DAMIÃO FELICIANO DA SILVA
Dandara;PT;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;233;Brasília - DF - CEP 70160-900;3215-5233;3215-2233;01;23;dep.dandara@camara.leg.br;Dandara;Exma. Senhora Deputada;DANDARA TONANTZIN SILVA CASTRO
Dani Cunha;UNIÃO;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;950;Brasília - DF - CEP 70160-900;3215-5950;3215-2950;05;19;dep.danicunha@camara.leg.br;Dani Cunha;Exma. Senhora Deputada;DANIELLE DYTZ DA CUNHA
Daniel Agrobom;PL;GO;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;572;Brasília - DF - CEP 70160-900;3215-5572;3215-2572;07;02;dep.danielagrobom@camara.leg.br;Daniel Agrobom;Exmo. Senhor Deputado;DANIEL VIEIRA RAMOS
Daniel Almeida;PCdoB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;317;Brasília - DF - CEP 70160-900;3215-5317;3215-2317;01;21;dep.danielalmeida@camara.leg.br;Daniel Almeida;Exmo. Senhor Deputado;DANIEL GOMES DE ALMEIDA
Daniel Barbosa;PP;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;352;Brasília - DF - CEP 70160-900;3215-5352;3215-2352;10;27;dep.danielbarbosa@camara.leg.br;Daniel Barbosa;Exmo. Senhor Deputado;DANIEL BARBOSA DE ALMEIDA SILVA
Daniel Freitas;PL;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;194;Brasília - DF - CEP 70160-900;3215-5194;3215-2194;04;03;dep.danielfreitas@camara.leg.br;Daniel Freitas;Exmo. Senhor Deputado;DANIEL COSTA DE FREITAS
Daniel Trzeciak;PSDB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;924;Brasília - DF - CEP 70160-900;3215-5924;3215-2924;11;04;dep.danieltrzeciak@camara.leg.br;Daniel Trzeciak;Exmo. Senhor Deputado;DANIEL TRZECIAK DUARTE
Daniela do Waguinho;UNIÃO;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;550;Brasília - DF - CEP 70160-900;3215-5550;3215-2550;02;10;dep.danieladowaguinho@camara.leg.br;Daniela do Waguinho;Exma. Senhora Deputada;DANIELA MOTE DE SOUZA CARNEIRO
Daniela Reinehr;PL;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;134;Brasília - DF - CEP 70160-900;3215-5134;3215-2134;04;04;dep.danielareinehr@camara.leg.br;Daniela Reinehr;Exma. Senhora Deputada;DANIELA CRISTINA REINEHR
Danilo Forte;UNIÃO;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;219;Brasília - DF - CEP 70160-900;3215-5219;3215-2219;09;01;dep.daniloforte@camara.leg.br;Danilo Forte;Exmo. Senhor Deputado;FRANCISCO DANILO BASTOS FORTE
Danrlei de Deus Hinterholz;PSD;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;971;Brasília - DF - CEP 70160-900;3215-5971;3215-2971;04;18;dep.danrleidedeushinterholz@camara.leg.br;Danrlei de Deus Hinterholz;Exmo. Senhor Deputado;DANRLEI DE DEUS HINTERHOLZ
David Soares;UNIÃO;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;235;Brasília - DF - CEP 70160-900;3215-5235;3215-2235;12;21;dep.davidsoares@camara.leg.br;David Soares;Exmo. Senhor Deputado;DAVID BEZERRA RIBEIRO SOARES
Dayany Bittencourt;UNIÃO;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;711;Brasília - DF - CEP 70160-900;3215-5711;3215-2711;09;13;dep.dayanybittencourt@camara.leg.br;Dayany Bittencourt;Exma. Senhora Deputada;DAYANY BITTENCOURT SANTIL
Defensor Stélio Dener;REPUBLICANOS;RR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;435;Brasília - DF - CEP 70160-900;3215-5435;3215-2435;11;16;dep.defensorsteliodener@camara.leg.br;Defensor Stelio Dener;Exmo. Senhor Deputado;STÉLIO DENER DE SOUZA CRUZ
Delegada Adriana Accorsi;PT;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;740;Brasília - DF - CEP 70160-900;3215-5740;3215-2740;03;17;dep.delegadaadrianaaccorsi@camara.leg.br;Delegada Adriana Accorsi;Exma. Senhora Deputada;ADRIANA SAUTHIER ACCORSI
Delegada Ione;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;606;Brasília - DF - CEP 70160-900;3215-5606;3215-2606;03;20;dep.delegadaione@camara.leg.br;Delegada Ione;Exma. Senhora Deputada;IONE MARIA MOREIRA DIAS BARBOSA
Delegada Katarina;PSD;SE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;756;Brasília - DF - CEP 70160-900;3215-5756;3215-2756;10;05;dep.delegadakatarina@camara.leg.br;Delegada Katarina;Exma. Senhora Deputada;KATARINA FEITOZA LIMA SANTANA
Delegado Bruno Lima;PP;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;933;Brasília - DF - CEP 70160-900;3215-5933;3215-2933;08;25;dep.delegadobrunolima@camara.leg.br;Delegado Bruno Lima;Exmo. Senhor Deputado;BRUNO MARCELLO DE OLIVEIRA LIMA
Delegado Caveira;PL;PA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;125;Brasília - DF - CEP 70160-900;3215-5125;3215-2125;04;27;dep.delegadocaveira@camara.leg.br;Delegado Caveira;Exmo. Senhor Deputado;LENILDO MENDES DOS SANTOS SERTÃO
Delegado da Cunha;PP;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;831;Brasília - DF - CEP 70160-900;3215-5831;3215-2831;10;14;dep.delegadodacunha@camara.leg.br;Delegado da Cunha;Exmo. Senhor Deputado;CARLOS ALBERTO DA CUNHA
Delegado Éder Mauro;PL;PA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;884;Brasília - DF - CEP 70160-900;3215-5884;3215-2884;12;14;dep.delegadoedermauro@camara.leg.br;Delegado Eder Mauro;Exmo. Senhor Deputado;EDER MAURO CARDOSO BARRA
Delegado Fabio Costa;PP;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;741;Brasília - DF - CEP 70160-900;3215-5741;3215-2741;10;15;dep.delegadofabiocosta@camara.leg.br;Delegado Fabio Costa;Exmo. Senhor Deputado;FABIO MICHEY COSTA DA SILVA
Delegado Marcelo Freitas;UNIÃO;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;111;Brasília - DF - CEP 70160-900;3215-5111;3215-2111;03;04;dep.delegadomarcelofreitas@camara.leg.br;Delegado Marcelo Freitas;Exmo. Senhor Deputado;MARCELO EDUARDO FREITAS
Delegado Matheus Laiola;UNIÃO;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;505;Brasília - DF - CEP 70160-900;3215-5505;3215-2505;12;24;dep.delegadomatheuslaiola@camara.leg.br;Delegado Matheus Laiola;Exmo. Senhor Deputado;MATHEUS ARAUJO LAIOLA
Delegado Palumbo;MDB;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;121;Brasília - DF - CEP 70160-900;3215-5121;3215-2121;08;16;dep.delegadopalumbo@camara.leg.br;Delegado Palumbo;Exmo. Senhor Deputado;MARIO PALUMBO JUNIOR
Delegado Paulo Bilynskyj;PL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;509;Brasília - DF - CEP 70160-900;3215-5509;3215-2509;03;10;dep.delegadopaulobilynskyj@camara.leg.br;Delegado Paulo Bilynskyj;Exmo. Senhor Deputado;PAULO FRANCISCO MUNIZ BILYNSKYJ
Delegado Ramagem;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;401;Brasília - DF - CEP 70160-900;3215-5401;3215-2401;05;08;dep.delegadoramagem@camara.leg.br;Delegado Ramagem;Exmo. Senhor Deputado;ALEXANDRE RAMAGEM RODRIGUES
Denise Pessôa;PT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;832;Brasília - DF - CEP 70160-900;3215-5832;3215-2832;06;17;dep.denisepessoa@camara.leg.br;Denise Pessoa;Exma. Senhora Deputada;DENISE DA SILVA PESSÔA
Detinha;PL;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;714;Brasília - DF - CEP 70160-900;3215-5714;3215-2714;01;25;dep.detinha@camara.leg.br;Detinha;Exma. Senhora Deputada;MARIA DEUSDETE LIMA CUNHA RODRIGUES
Diego Andrade;PSD;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;307;Brasília - DF - CEP 70160-900;3215-5307;3215-2307;08;08;dep.diegoandrade@camara.leg.br;Diego Andrade;Exmo. Senhor Deputado;DIEGO LEONARDO DE ANDRADE CARVALHO
Diego Coronel;PSD;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;754;Brasília - DF - CEP 70160-900;3215-5754;3215-2754;01;22;dep.diegocoronel@camara.leg.br;Diego Coronel;Exmo. Senhor Deputado;DIEGO HENRIQUE SILVA CERQUEIRA MARTINS
Diego Garcia;REPUBLICANOS;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;910;Brasília - DF - CEP 70160-900;3215-5910;3215-2910;10;10;dep.diegogarcia@camara.leg.br;Diego Garcia;Exmo. Senhor Deputado;DIEGO ALEXSANDER GONCALO PAULA GARCIA
Dilceu Sperafico;PP;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;322;Brasília - DF - CEP 70160-900;3215-5322;3215-2322;01;26;dep.dilceusperafico@camara.leg.br;Dilceu Sperafico;Exmo. Senhor Deputado;DILCEU JOÃO SPERAFICO
Dilvanda Faro;PT;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;723;Brasília - DF - CEP 70160-900;3215-5723;3215-2723;05;08;dep.dilvandafaro@camara.leg.br;Dilvanda Faro;Exma. Senhora Deputada;DILVANDA FURTADO FARO
Dimas Fabiano;PP;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;736;Brasília - DF - CEP 70160-900;3215-5736;3215-2736;05;23;dep.dimasfabiano@camara.leg.br;Dimas Fabiano;Exmo. Senhor Deputado;DIMAS FABIANO TOLEDO JÚNIOR
Dimas Gadelha;PT;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;603;Brasília - DF - CEP 70160-900;3215-5603;3215-2603;05;03;dep.dimasgadelha@camara.leg.br;Dimas Gadelha;Exmo. Senhor Deputado;DIMAS DE PAIVA GADELHA JUNIOR
Domingos Neto;PSD;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;546;Brasília - DF - CEP 70160-900;3215-5546;3215-2546;04;29;dep.domingosneto@camara.leg.br;Domingos Neto;Exmo. Senhor Deputado;DOMINGOS GOMES DE AGUIAR NETO
Domingos Sávio;PL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;345;Brasília - DF - CEP 70160-900;3215-5345;3215-2345;03;25;dep.domingossavio@camara.leg.br;Domingos Savio;Exmo. Senhor Deputado;DOMINGOS SÁVIO CAMPOS RESENDE
Dorinaldo Malafaia;PDT;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;733;Brasília - DF - CEP 70160-900;3215-5733;3215-2733;02;23;dep.dorinaldomalafaia@camara.leg.br;Dorinaldo Malafaia;Exmo. Senhor Deputado;DORINALDO BARBOSA MALAFAIA
Doutor Luizinho;PP;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;577;Brasília - DF - CEP 70160-900;3215-5577;3215-2577;12;15;dep.doutorluizinho@camara.leg.br;Doutor Luizinho;Exmo. Senhor Deputado;LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR
Dr. Fernando Máximo;UNIÃO;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;813;Brasília - DF - CEP 70160-900;3215-5813;3215-2813;10;04;dep.dr.fernandomaximo@camara.leg.br;Dr. Fernando Maximo;Exmo. Senhor Deputado;FERNANDO RODRIGUES MÁXIMO
Dr. Francisco;PT;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;909;Brasília - DF - CEP 70160-900;3215-5909;3215-2909;10;14;dep.dr.francisco@camara.leg.br;Dr. Francisco;Exmo. Senhor Deputado;FRANCISCO DE ASSIS DE OLIVEIRA COSTA
Dr. Frederico;PRD;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;673;Brasília - DF - CEP 70160-900;3215-5673;3215-2673;03;24;dep.dr.frederico@camara.leg.br;Dr. Frederico;Exmo. Senhor Deputado;FREDERICO DE CASTRO ESCALEIRA
Dr. Jaziel;PL;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;705;Brasília - DF - CEP 70160-900;3215-5705;3215-2705;05;03;dep.dr.jaziel@camara.leg.br;Dr. Jaziel;Exmo. Senhor Deputado;JAZIEL PEREIRA DE SOUSA
Dr. Luiz Ovando;PP;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;644;Brasília - DF - CEP 70160-900;3215-5644;3215-2644;09;25;dep.dr.luizovando@camara.leg.br;Dr. Luiz Ovando;Exmo. Senhor Deputado;LUIZ ALBERTO OVANDO
Dr. Victor Linhalis;PODE;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;845;Brasília - DF - CEP 70160-900;3215-5845;3215-2845;01;02;dep.dr.victorlinhalis@camara.leg.br;Dr. Victor Linhalis;Exmo. Senhor Deputado;VICTOR GAROZI LINHALIS
Dr. Zacharias Calil;UNIÃO;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;616;Brasília - DF - CEP 70160-900;3215-5616;3215-2616;11;05;dep.dr.zachariascalil@camara.leg.br;Dr. Zacharias Calil;Exmo. Senhor Deputado;ZACARIAS CALIL HAMU
Dra. Alessandra Haber;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;432;Brasília - DF - CEP 70160-900;3215-5432;3215-2432;09;15;dep.dra.alessandrahaber@camara.leg.br;Dra. Alessandra Haber;Exma. Senhora Deputada;ALESSANDRA HABER CARVALHO SANTOS
Dra. Mayra Pinheiro;PL;CE;S;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;578;Brasília - DF - CEP 70160-900;3215-5578;3215-2578;11;21;dep.dra.mayrapinheiro@camara.leg.br;Dra. Mayra Pinheiro;Exma. Senhora Deputada;MAYRA ISABEL CORREIA PINHEIRO
Duarte Jr.;PSB;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;344;Brasília - DF - CEP 70160-900;3215-5344;3215-2344;09;15;dep.duartejr@camara.leg.br;Duarte Jr.;Exmo. Senhor Deputado;HILDELIS SILVA DUARTE JUNIOR
Duda Ramos;MDB;RR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;246;Brasília - DF - CEP 70160-900;3215-5246;3215-2246;05;19;dep.dudaramos@camara.leg.br;Duda Ramos;Exmo. Senhor Deputado;DUDA BRITO RAMOS
Duda Salabert;PDT;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;840;Brasília - DF - CEP 70160-900;3215-5840;3215-2840;05;02;dep.dudasalabert@camara.leg.br;Duda Salabert;Exma. Senhora Deputada;DUDA SALABERT ROSA
Eduardo Bolsonaro;PL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;785;Brasília - DF - CEP 70160-900;3215-5785;3215-2785;07;10;dep.eduardobolsonaro@camara.leg.br;Eduardo Bolsonaro;Exmo. Senhor Deputado;EDUARDO NANTES BOLSONARO
Eduardo da Fonte;PP;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;628;Brasília - DF - CEP 70160-900;3215-5628;3215-2628;10;17;dep.eduardodafonte@camara.leg.br;Eduardo da Fonte;Exmo. Senhor Deputado;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA
Eduardo Velloso;UNIÃO;AC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;130;Brasília - DF - CEP 70160-900;3215-5130;3215-2130;07;08;dep.eduardovelloso@camara.leg.br;Eduardo Velloso;Exmo. Senhor Deputado;EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA
Elcione Barbalho;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;216;Brasília - DF - CEP 70160-900;3215-5216;3215-2216;10;05;dep.elcionebarbalho@camara.leg.br;Elcione Barbalho;Exma. Senhora Deputada;ELCIONE THEREZINHA ZAHLUTH BARBALHO
Eli Borges;PL;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;248;Brasília - DF - CEP 70160-900;3215-5248;3215-2248;09;01;dep.eliborges@camara.leg.br;Eli Borges;Exmo. Senhor Deputado;ELI DIAS BORGES
Elmar Nascimento;UNIÃO;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;332;Brasília - DF - CEP 70160-900;3215-5332;3215-2332;07;06;dep.elmarnascimento@camara.leg.br;Elmar Nascimento;Exmo. Senhor Deputado;ELMAR JOSE VIEIRA NASCIMENTO
Ely Santos;REPUBLICANOS;SP;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;926;Brasília - DF - CEP 70160-900;3215-5926;3215-2926;01;13;dep.elysantos@camara.leg.br;Ely Santos;Exma. Senhora Deputada;ELIANE DE SOUSA ALVES
Emanuel Pinheiro Neto;MDB;MT;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;678;Brasília - DF - CEP 70160-900;3215-5678;3215-2678;01;05;dep.emanuelpinheironeto@camara.leg.br;Emanuel Pinheiro Neto;Exmo. Senhor Deputado;EMANUEL PINHEIRO DA SILVA PRIMO
Emidinho Madeira;PL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;837;Brasília - DF - CEP 70160-900;3215-5837;3215-2837;03;10;dep.emidinhomadeira@camara.leg.br;Emidinho Madeira;Exmo. Senhor Deputado;EMIDIO ALVES MADEIRA JUNIOR
Enfermeira Ana Paula;PDT;CE;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;936;Brasília - DF - CEP 70160-900;3215-5936;3215-2936;11;17;dep.enfermeiraanapaula@camara.leg.br;Enfermeira Ana Paula;Exma. Senhora Deputada;ANA PAULA BRANDÃO DA SILVA FARIAS
Enfermeira Rejane;PCdoB;RJ;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;313;Brasília - DF - CEP 70160-900;3215-5313;3215-2313;08;24;dep.enfermeirarejane@camara.leg.br;Enfermeira Rejane;Exma. Senhora Deputada;REJANE DE ALMEIDA
Eriberto Medeiros;PSB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;311;Brasília - DF - CEP 70160-900;3215-5311;3215-2311;09;26;dep.eribertomedeiros@camara.leg.br;Eriberto Medeiros;Exmo. Senhor Deputado;JOSÉ ERIBERTO MEDEIROS DE OLIVEIRA
Erika Hilton;PSOL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;636;Brasília - DF - CEP 70160-900;3215-5636;3215-2636;12;09;dep.erikahilton@camara.leg.br;Erika Hilton;Exma. Senhora Deputada;ERIKA SANTOS SILVA
Erika Kokay;PT;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;203;Brasília - DF - CEP 70160-900;3215-5203;3215-2203;08;15;dep.erikakokay@camara.leg.br;Erika Kokay;Exma. Senhora Deputada;ÉRIKA JUCÁ KOKAY
Eros Biondini;PL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;321;Brasília - DF - CEP 70160-900;3215-5321;3215-2321;05;20;dep.erosbiondini@camara.leg.br;Eros Biondini;Exmo. Senhor Deputado;EROS FERREIRA BIONDINI
Euclydes Pettersen;REPUBLICANOS;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;456;Brasília - DF - CEP 70160-900;3215-5456;3215-2456;08;15;dep.euclydespettersen@camara.leg.br;Euclydes Pettersen;Exmo. Senhor Deputado;EUCLYDES MARCOS PETTERSEN NETO
Eunício Oliveira;MDB;CE;T;Câmara dos Deputados, Edifício Anexo;0;, gabinete nº;5;Brasília - DF - CEP 70160-900;3215-5975;3215-2975;09;30;dep.euniciooliveira@camara.leg.br;Eunicio Oliveira;Exmo. Senhor Deputado;EUNÍCIO LOPES DE OLIVEIRA
Evair Vieira de Melo;PP;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;443;Brasília - DF - CEP 70160-900;3215-5443;3215-2443;04;02;dep.evairvieirademelo@camara.leg.br;Evair Vieira de Melo;Exmo. Senhor Deputado;EVAIR VIEIRA DE MELO
Fábio Macedo;PODE;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;515;Brasília - DF - CEP 70160-900;3215-5515;3215-2515;09;18;dep.fabiomacedo@camara.leg.br;Fabio Macedo;Exmo. Senhor Deputado;FÁBIO HENRIQUE DIAS DE  MACEDO
Fabio Reis;PSD;SE;T;Câmara dos Deputados, Edifício Anexo;;, gabinete nº;0;Brasília - DF - CEP 70160-900;;;04;15;dep.fabioreis@camara.leg.br;Fabio Reis;Exmo. Senhor Deputado;FABIO DE ALMEIDA REIS
Fabio Schiochet;UNIÃO;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;758;Brasília - DF - CEP 70160-900;3215-5758;3215-2758;05;31;dep.fabioschiochet@camara.leg.br;Fabio Schiochet;Exmo. Senhor Deputado;FÁBIO LUIZ SCHIOCHET FILHO
Fábio Teruel;MDB;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;294;Brasília - DF - CEP 70160-900;3215-5294;3215-2294;10;22;dep.fabioteruel@camara.leg.br;Fabio Teruel;Exmo. Senhor Deputado;Fábio Eduardo de Oliveira Teruel
Fausto Pinato;PP;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;562;Brasília - DF - CEP 70160-900;3215-5562;3215-2562;06;01;dep.faustopinato@camara.leg.br;Fausto Pinato;Exmo. Senhor Deputado;FAUSTO RUY PINATO
Fausto Santos Jr.;UNIÃO;AM;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;132;Brasília - DF - CEP 70160-900;3215-5132;3215-2132;12;20;dep.faustosantosjr@camara.leg.br;Fausto Santos Jr.;Exmo. Senhor Deputado;FAUSTO VIEIRA DOS SANTOS JUNIOR
Felipe Becari;UNIÃO;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;476;Brasília - DF - CEP 70160-900;3215-5476;3215-2476;03;06;dep.felipebecari@camara.leg.br;Felipe Becari;Exmo. Senhor Deputado;FELIPE BECARI COMENALE
Felipe Carreras;PSB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;318;Brasília - DF - CEP 70160-900;3215-5318;3215-2318;04;16;dep.felipecarreras@camara.leg.br;Felipe Carreras;Exmo. Senhor Deputado;FELIPE AUGUSTO LYRA CARRERAS
